1862,1,11,Saturday,DWR_1862_01-10.jpg
NAIRN,29.27,39,38,0.17
ABERDEEN,29.28,40,39,999
LEITH,29.11,42,40,999
BERWICK,29.14,43,42,999
ARDROSSAN,29.11,39,38,999
PORTRUSH,29.1,43,42,999
SHIELDS,29.21,45,43,999
GALWAY,29.4,44,999,999
SCARBOROUGH,29.28,48,47,0.37
LIVERPOOL,29.26,49,47,0.12
VALENTIA,29.57,47,45,?1.00
QUEENSTOWN,29.45,46,45,999
YARMOUTH,29.52,49,48,999
LONDON,29.55,51,49,0.05
DOVER,29.65,50,49,0.17
PORTSMOUTH,29.58,51,49,999
PORTLAND,29.53,51,49,0.15
PLYMOUTH,29.48,51,49,999
PENZANCE,29.51,51,49,999
COPENHAGEN,999,999,999,999
HELDER,29.66,41,999,999
BREST,29.82,52,999,999
BAYONNE,30.25,49,999,999
LISBON,30.45,53,999,999
