1863,1,7,Wednesday,DWR_1863_01-5.jpg
NAIRN,29.35,37,3,0
ABERDEEN,29.21,43,1,0.25
LEITH,29.13,40,3,0
ARDROSSAN,29.22,38,2,0.18
PORTRUSH,29.27,37,2,0
GALWAY,29.3,32,999,0
VALENTIA,29.36,43,2,0.17
QUEENSTOWN,29.31,40,1,0
HOLYHEAD,29.08,40,1,0.55
LIVERPOOL,29.08,38,1,0.27
PEMBROKE,29.07,40,1,0.33
PENZANCE,29.21,36,1,0
BREST,29.25,37,1,0.2
JERSEY,29.26,42,2,0.19
LORIENT,29.14,43,1,0.28
ROCHEFORT,29.28,43,4,0.24
PLYMOUTH,29.19,34,1,0.28
WEYMOUTH,29.21,41,3,0.45
PORTSMOUTH,29.22,39,2,0.56
KEW,29.25,37,1,0
LONDON,29.23,35,1,0.18
YARMOUTH,29.2,41,1,0.4
SCARBOROUGH,29.05,40,1,0.63
SHIELDS,29.07,43,2,0.25
HELIGOLAND,29.34,40,1,0
COPENHAGEN,29.62,36,999,0
HELDER,29.23,43,999,0
BAYONNE,999,45,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
