1863,3,23,Monday,DWR_1863_03-19.jpg
NAIRN,30.04,53,3,0
ABERDEEN,30.07,57,999,0
LEITH,30.17,53,3,0
ARDROSSAN,30.24,48,3,0
PORTRUSH,30.31,49,1,0
GALWAY,30.34,51,1,0.2
VALENTIA,30.42,52,1,0.07
QUEENSTOWN,30.45,54,1,0
HOLYHEAD,30.4,49,1,0
LIVERPOOL,30.38,50,3,0
PEMBROKE,30.46,50,1,0
PENZANCE,30.52,43,0,0
BREST,30.47,45,0,0.08
LORIENT,30.43,45,3,0
ROCHEFORT,30.43,43,2,0
PLYMOUTH,30.49,45,2,0
WEYMOUTH,30.48,45,0,0
PORTSMOUTH,30.44,44,2,0
KEW,30.47,41,0,0
LONDON,30.44,43,1,0
DOVER,30.44,49,2,0
YARMOUTH,30.39,47,1,0
SCARBOROUGH,30.29,49,2,0
SHIELDS,30.3,54,5,0
HELIGOLAND,30.32,43,0,0
COPENHAGEN,30.14,43,999,0
HELDER,30.37,46,999,0
LISBON,30.24,53,999,0
