1863,1,16,Friday,DWR_1863_01-13.jpg
NAIRN,30.38,44,1,0
ABERDEEN,30.4,38,2,0
LEITH,30.42,45,2,0
ARDROSSAN,30.45,44,3,0
PORTRUSH,30.46,43,0,0
GALWAY,30.47,41,1,0
VALENTIA,30.45,42,3,0
QUEENSTOWN,30.51,42,1,0
HOLYHEAD,30.42,37,1,0
LIVERPOOL,30.46,37,1,0
PEMBROKE,30.42,33,1,0
PENZANCE,30.38,37,1,0
BREST,30.24,43,2,0
JERSEY,30.22,42,2,0
LORIENT,30.13,41,2,0
ROCHEFORT,30.03,37,2,0.08
PLYMOUTH,30.35,38,2,0
WEYMOUTH,30.31,38,2,0
PORTSMOUTH,30.28,41,3,0
KEW,30.34,38,1,0
LONDON,30.35,38,1,0
YARMOUTH,30.39,41,2,0
SCARBOROUGH,30.43,36,1,0
SHIELDS,30.46,39,1,0
HELIGOLAND,30.46,32,0,0
COPENHAGEN,999,999,999,999
HELDER,30.38,33,999,0
BAYONNE,999,39,999,0
OPORTO,999,999,999,999
LISBON,30.12,45,999,0
