1862,10,20,Monday,DWR_1862_10-16.jpg
NAIRN,28.61,39,39,0.5
ABERDEEN,28.59,?40,35,0.76
LEITH,28.78,42,39,0
BERWICK,999,999,999,999
ARDROSSAN,28.8,45,41,1.08
PORTRUSH,999,999,999,999
GALWAY,29.27,43,40,1.13
VALENTIA,29.39,47,43,1.4
QUEENSTOWN,29.3,42,41,0.31
HOLYHEAD,29.1,47,43,0.3
LIVERPOOL,29.08,47,42,0.17
PEMBROKE,29.38,49,48,0.92
PENZANCE,29.45,48,46,2.08
PLYMOUTH,29.4,47,45,1.81
JERSEY,999,999,999,999
WEYMOUTH,29.37,52,47,1.02
PORTSMOUTH,29.31,48,46,1.82
DOVER,29.27,49,45,1.9
LONDON,29.25,45,42,1.22
YARMOUTH,29.17,46,42,0.7
SCARBOROUGH,28.91,45,41,0
SHIELDS,28.87,41,38,0
HELIGOLAND,28.92,51,50,0.48
HELDER,29.06,53,999,0
COPENHAGEN,29.06,46,999,0
BREST,29.58,50,999,0
BAYONNE,999,60,999,0
LISBON,999,999,999,999
