1862,5,17,Saturday,DWR_1862_05-16.jpg
NAIRN,29.98,58,54,0
ABERDEEN,30.04,51,50,0
LEITH,30.04,54,52,0
BERWICK,30.09,55,52,0
ARDROSSAN,30.03,53,51,0
PORTRUSH,30.04,55,54,0
GALWAY,30.08,62,58,0
SHIELDS,30.11,51,49,0
SCARBOROUGH,30.13,51,50,0
HELIGOLAND,30.07,55,53,0.25
LIVERPOOL,30.13,56,51,0
QUEENSTOWN,30.1,58,56,0
VALENTIA,30.08,60,57,0.26
YARMOUTH,30.13,53,52,0
LONDON,30.15,56,54,0.01
DOVER,30.14,62,60,0
PORTSMOUTH,30.16,54,51,0
PORTLAND,30.18,56,52,0
PLYMOUTH,30.15,59,56,0
PENZANCE,30.19,57,56,0
JERSEY,30.23,57,55,0
COPENHAGEN,30.13,57,999,0
HELDER,30.12,53,999,0
BREST,30.19,53,999,0
BAYONNE,999,56,999,0
LISBON,30.19,62,999,0
